Directory,Filename,Mapping,State,AnNo,Group,Unit,class,class_2
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\11092017_bigsq,44092017_CSubRet1_bigsq_d4_1.set,CL-SR_1-3.py,Control,1,3,3,S_BC?,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\04092017,04092017_CSubRet1_smallsq_d2_1.set,CL-SR_1-3.py,Control,1,3,1,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\04092017,04092017_CSubRet1_smallsq_d2_1.set,CL-SR_1-3.py,Control,1,3,5,S_GC,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\04092017,04092017_CSubRet1_smallsq_d2_1.set,CL-SR_1-3.py,Control,1,6,5,S_GC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\04092017,04092017_CSubRet1_smallsq_d2_1.set,CL-SR_1-3.py,Control,1,6,6,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\07092017,07092017_CSubRet1_smallsq_d3_1.set,CL-SR_1-3.py,Control,1,3,4,S_GC,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\07092017,07092017_CSubRet1_smallsq_d3_1.set,CL-SR_1-3.py,Control,1,3,5,S_GC,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\07092017,07092017_CSubRet1_smallsq_d3_1.set,CL-SR_1-3.py,Control,1,6,5,S_GC,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\07092017,07092017_CSubRet1_smallsq_d3_1.set,CL-SR_1-3.py,Control,1,8,1,NS_FF,TH_RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\07092017,07092017_CSubRet1_smallsq_d3_1.set,CL-SR_1-3.py,Control,1,8,3,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\11092017,11092017_CSubRet1_smallsq_d4_1.set,CL-SR_1-3.py,Control,1,3,2,S_GC,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\11092017,11092017_CSubRet1_smallsq_d4_1.set,CL-SR_1-3.py,Control,1,3,4,S_GC,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\11092017,11092017_CSubRet1_smallsq_d4_1.set,CL-SR_1-3.py,Control,1,3,6,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\11092017,11092017_CSubRet1_smallsq_d4_1.set,CL-SR_1-3.py,Control,1,8,1,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\11092017,11092017_CSubRet1_smallsq_d4_1.set,CL-SR_1-3.py,Control,1,8,10,NS_FF,FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\13092017,13092017_CSubRet1_bigsq_d5_1.set,CL-SR_1-3.py,Control,1,3,3,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\13092017,13092017_CSubRet1_bigsq_d5_1.set,CL-SR_1-3.py,Control,1,5,2,S_HD,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\13092017,13092017_CSubRet1_bigsq_d5_1.set,CL-SR_1-3.py,Control,1,8,1,S_PC,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,2,S_GC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,5,S_GC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,6,NS_FF,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,7,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,5,1,S_HD,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,6,5,S_BC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,6,6,S_BC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,8,1,S_HD,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,8,4,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,2,1,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,2,2,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,2,3,S_HD,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,3,5,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,3,8,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,3,9,S_PCxHD,FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,CL-SR_1-3.py,Control,1,3,10,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,2,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,3,S_HD,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,4,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,3,5,NS_TH,FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,6,1,S_GC,FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,CL-SR_1-3.py,Control,1,6,2,NS_FF,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,2,1,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,3,1,NS_FF,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,3,3,NS_FF,B
