filename,folder,duration,rat,n_channels,sleep,maze,habituation,treatment,light,date_time,mapping
02102018_C64_CSubSubRet1_smallsq_screen_1_1.set,D:\SubRet_recordings_imaging\C64_CSubSubRet1\smallsq\02102018,901.0,CSubSubRet1,32,0,small_sq,0,Control,11.0,2018-10-02 10:58:00,NOT_EXIST
04102018_C64_CSubSubRet1_smallsq_screen_2_1.set,D:\SubRet_recordings_imaging\C64_CSubSubRet1\smallsq\04102018,120.0,CSubSubRet1,32,0,small_sq,0,Control,11.0,2018-10-04 12:12:01,NOT_EXIST
25022019_CanCCaRet1_smallsq_1_1.set,D:\SubRet_recordings_imaging\CanCCaRet1\smallsq\25022019,387.0,CanCCaRet1,32,0,small_sq,0,Control,11.0,2019-02-25 15:51:03,NOT_EXIST
26022019_CanCCaRet1_smallsq_2_1.set,D:\SubRet_recordings_imaging\CanCCaRet1\smallsq\26022019,499.0,CanCCaRet1,32,0,small_sq,0,Control,11.0,2019-02-26 17:51:00,NOT_EXIST
04032019_CanCCaRet1_smallsq_1_1.set,D:\SubRet_recordings_imaging\CanCCaRet1\smallsq_bigsq\04032019\s1_smallsq,120.0,CanCCaRet1,32,0,small_sq,0,Control,11.0,2019-03-04 17:25:00,NOT_EXIST
04032019_CanCCaRet1_bigsq_1_2.set,D:\SubRet_recordings_imaging\CanCCaRet1\smallsq_bigsq\04032019\s2_bigsq,120.0,CanCCaRet1,32,0,big_sq,0,Control,11.0,2019-03-04 17:49:00,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_1.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t1,75.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:16:04,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_2.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t2,88.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:21:02,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_3.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t3,99.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:24:01,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_4.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t4,148.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:27:00,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_5.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t5,90.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:30:04,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_6.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t6,87.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:33:00,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_7.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t7,104.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:35:02,NOT_EXIST
26022019_CanCCaRet1_tmaze_1_8.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s1_26022019\t8,81.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 12:38:00,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_1.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t1,102.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:40:04,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_2.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t2,87.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:43:03,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_3.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t3,89.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:46:02,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_4.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t4,110.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:49:00,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_5.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t5,81.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:52:05,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_6.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t6,92.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:55:02,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_7.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t7,67.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 13:57:05,NOT_EXIST
26022019_CanCCaRet1_tmaze_2_8.set,D:\SubRet_recordings_imaging\CanCCaRet1\tmaze\s2_26022019\t8,111.0,CanCCaRet1,32,0,,0,Control,11.0,2019-02-26 14:01:00,NOT_EXIST
